id,cdep,cmun,cindica,nomind,periodo,edadR,casos,poblacion,tasa,casosh,poblacionh,tasah,casosm,poblacionm,tasam
18403,11,11001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,2,790,601717,131.290955715062,199,308475,64.5109003971148,591,293242,201.540024962318
18404,11,11001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,3,1368,717693,190.610748606995,265,367809,72.0482641805937,1103,349884,315.247339118108
18405,11,11001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,1754,746193,235.059830365602,199,380195,52.3415615670906,1555,365998,424.865709648687
18406,11,11001,121,Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años,2015,5,400,1439041,27.7962893343553,22,727325,3.02478259375107,378,711716,53.1110723940448
18407,11,11001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,1,11,121438,9.05812019302031,6,62367,9.62047236519313,5,59071,8.46439030996597
18408,13,13001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,2,78,83077,93.888801954813,19,42397,44.8144915913862,59,40680,145.034414945919
18409,13,13001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,3,134,104703,127.981051163768,28,53009,52.8212190382765,106,51694,205.052810771076
18410,13,13001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,209,109917,190.143471892428,18,55069,32.6862663204344,191,54848,348.23512252042
18411,13,13001,121,Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años,2015,5,53,192016,27.6018665111241,1,96724,1.03386956701543,52,95292,54.569113881543
18412,13,13001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,1,3,16152,18.5735512630015,0,8233,0,3,7919,37.8835711579745
18413,13,13006,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,1,2683,37.2717107715244,0,1376,0,1,1307,76.5110941086458
18414,13,13030,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,3,1,1657,60.3500301750151,0,860,0,1,797,125.470514429109
18415,13,13042,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,3,2595,115.606936416185,0,1393,0,3,1202,249.584026622296
18416,13,13052,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,2,1,7405,13.5043889264011,1,3789,26.3921879123779,0,3616,0
18417,13,13052,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,3,11,8940,123.042505592841,3,4539,66.0938532716457,8,4401,181.776868893433
18418,13,13052,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,12,8997,133.377792597533,0,4596,0,12,4401,272.66530334015
18419,13,13052,121,Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años,2015,5,4,14221,28.1274171999156,0,7476,0,4,6745,59.3031875463306
18420,13,13062,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,2,1,1095,91.324200913242,0,565,0,1,530,188.679245283019
18421,13,13062,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,3,1,1275,78.4313725490196,0,683,0,1,592,168.918918918919
18422,13,13062,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,1,1267,78.9265982636148,0,672,0,1,595,168.067226890756
18423,13,13062,121,Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años,2015,5,1,1937,51.6262261228704,0,1034,0,1,903,110.741971207087
18424,13,13074,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,1,2372,42.1585160202361,0,1214,0,1,1158,86.3557858376511
18425,13,13140,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,2,1,2580,38.7596899224806,1,1331,75.1314800901578,0,1249,0
18426,13,13140,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,3,5,2999,166.722240746916,1,1605,62.3052959501558,4,1394,286.944045911047
18427,13,13140,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,5,2979,167.841557569654,0,1581,0,5,1398,357.653791130186
18428,13,13160,121,Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años,2015,5,1,1784,56.0538116591928,0,911,0,1,873,114.54753722795
18429,13,13188,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,2,1,1170,85.4700854700855,0,599,0,1,571,175.131348511384
18430,13,13188,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,3,2,1367,146.30577907827401,0,700,0,2,667,299.850074962519
18431,13,13188,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,3,1348,222.551928783383,0,692,0,3,656,457.317073170732
18432,13,13212,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,3,2,1650,121.212121212121,0,858,0,2,792,252.525252525253
18433,13,13212,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,2,1606,124.53300124533,0,837,0,2,769,260.078023407022
18434,13,13222,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,2,1,1464,68.3060109289618,0,759,0,1,705,141.843971631206
18435,13,13222,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,3,1,1663,60.1322910402886,1,878,113.895216400911,0,785,0
18436,13,13222,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,3,1679,178.677784395473,0,899,0,3,780,384.615384615385
18437,13,13222,121,Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años,2015,5,1,2646,37.7928949357521,0,1421,0,1,1225,81.6326530612245
18438,13,13244,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,2,4,9091,43.9995600044,1,4638,21.5610176800345,3,4453,67.3703121491129
18439,13,13244,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,3,11,10006,109.934039576254,3,5200,57.6923076923077,8,4806,166.458593424886
18440,13,13244,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,19,9538,199.203187250996,0,4967,0,19,4571,415.663968497047
18441,13,13244,121,Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años,2015,5,2,14993,13.339558460615,0,7892,0,2,7101,28.165047176454
18442,13,13248,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,1,844,118.483412322275,0,441,0,1,403,248.138957816377
18443,13,13268,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,2,1,1198,83.4724540901503,0,615,0,1,583,171.526586620926
18444,13,13268,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,3,2,1263,158.353127474268,0,660,0,2,603,331.67495854063
18445,13,13268,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,3,1228,244.299674267101,1,657,152.20700152207,2,571,350.262697022767
18446,13,13300,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,3,2,1693,118.133490844654,0,882,0,2,811,246.609124537608
18447,13,13300,121,Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años,2015,5,1,2559,39.0777647518562,1,1391,71.8907260963336,0,1168,0
18448,13,13430,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,2,12,12838,93.4725035052189,6,6578,91.2131346913956,6,6260,95.8466453674121
18449,13,13430,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,3,27,14831,182.051109163239,6,7604,78.9058390320884,21,7227,290.57700290577
18450,13,13430,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,37,14400,256.944444444444,3,7390,40.595399188092,34,7010,485.021398002853
18451,13,13430,121,Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años,2015,5,5,24305,20.571898786258,0,12414,0,5,11891,42.0486081910689
18452,13,13433,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,2,4,2637,151.687523701176,1,1358,73.6377025036819,3,1279,234.558248631744
18453,13,13433,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,3,5,3006,166.333998669328,0,1540,0,5,1466,341.06412005457
18454,13,13433,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,5,2942,169.952413324269,0,1511,0,5,1431,349.406009783368
18455,13,13433,121,Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años,2015,5,1,4785,20.8986415882968,0,2520,0,1,2265,44.1501103752759
18456,13,13440,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,2,1,1115,89.6860986547085,0,569,0,1,546,183.150183150183
18457,13,13440,121,Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años,2015,5,1,2098,47.6644423260248,0,1073,0,1,1025,97.5609756097561
18458,13,13442,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,2,2,5749,34.7886588971995,0,2957,0,2,2792,71.6332378223496
18459,13,13442,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,3,7,6300,111.111111111111,1,3279,30.4971027752364,6,3021,198.609731876862
18460,13,13442,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2015,4,13,6078,213.886146758802,0,3185,0,13,2893,449.360525406153
