id,cdep,cmun,cindica,nomind,periodo,edadR,casos,poblacion,tasa,casosh,poblacionh,tasah,casosm,poblacionm,tasam
5401,91,91263,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2012,2,0,672,0,-,327,0,-,345,0
5402,91,91405,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2012,2,0,551,0,-,275,0,-,276,0
5403,91,91407,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2012,2,0,760,0,-,380,0,-,380,0
5404,91,91001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2012,2,8,4801,166.631951676734,-,2465,0,8,2336,"342,47"
5405,91,91540,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2012,2,0,1279,0,-,649,0,-,630,0
5406,91,91669,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2012,2,0,438,0,-,225,0,-,213,0
5407,91,91798,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2012,2,0,660,0,-,327,0,-,333,0
5408,5,5002,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2012,2,1,1738,57.5373993095512,-,893,0,1,845,"118,34"
5409,5,5021,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2012,2,0,242,0,-,125,0,-,117,0
5410,5,5030,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2012,2,5,2866,174.459176552687,3,1487,"201,75",2,1379,"145,03"
5411,5,5031,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2012,2,3,2362,127.01100762066,1,1207,"82,85",2,1155,"173,16"
5412,5,5034,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2012,2,6,4367,137.394092054042,-,2243,0,6,2124,"282,49"
5413,5,5036,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2012,2,2,686,291.545189504373,-,354,0,2,332,"602,41"
5414,5,5038,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2012,2,0,1255,0,-,648,0,-,607,0
