id,cdep,cmun,cindica,nomind,periodo,edadR,casos,poblacion,tasa,casosh,poblacionh,tasah,casosm,poblacionm,tasam
32443,91,91263,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2021,3,1,331,302.114803625378,0,174,0,1,157,636.942675159236
32444,91,91405,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2021,4,3,540,555.555555555556,0,295,0,3,245,1224.48979591837
32445,91,91001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2021,2,13,5711,227.630887760462,4,2926,136.705399863295,9,2785,323.159784560144
32446,91,91001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2021,3,21,6788,309.36947554508,5,3447,145.053669857847,16,3341,478.898533373242
32447,91,91001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2021,4,30,6395,469.116497263487,3,3266,91.8554807103491,27,3129,862.895493767977
32448,91,91001,121,Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años,2021,5,4,9868,40.5350628293474,1,5282,18.9322226429383,3,4586,65.4164849542085
32449,91,91536,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2021,3,1,148,675.675675675676,0,73,0,1,75,1333.33333333333
32450,91,91536,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2021,4,1,116,862.068965517241,0,48,0,1,68,1470.58823529412
32451,5,5002,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2021,2,3,1296,231.481481481481,1,656,152.439024390244,2,640,312.5
32452,5,5002,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2021,3,5,1804,277.161862527716,0,945,0,5,859,582.072176949942
32453,5,5002,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2021,4,12,1968,609.756097560976,3,1062,282.485875706215,9,906,993.377483443709
32454,5,5004,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2021,3,1,257,389.105058365759,0,138,0,1,119,840.336134453782
32455,5,5004,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2021,4,1,265,377.358490566038,0,151,0,1,114,877.19298245614
32456,5,5030,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2021,2,3,2034,147.492625368732,2,1043,191.754554170662,1,991,100.908173562059
32457,5,5030,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2021,3,9,2543,353.912701533622,3,1293,232.018561484919,6,1250,480
32458,5,5030,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2021,4,10,2762,362.056480811007,2,1405,142.348754448399,8,1357,589.535740604274
