id,cdep,cmun,cindica,nomind,periodo,edadR,casos,poblacion,tasa,casosh,poblacionh,tasah,casosm,poblacionm,tasam
16201,85,85001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,22,13119,167.695708514368,7,6722,104.135673906575,15,6397,234.484914803814
16202,19,19001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,17,18778,90.5314730003195,5,9574,52.2247754334656,12,9204,130.378096479791
16203,50,50006,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,8,6252,127.959053103007,0,3167,0,8,3085,259.319286871961
16204,50,50226,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,2,1927,103.788271925272,0,986,0,2,941,212.539851222104
16205,63,63001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,55,22838,240.826692354847,17,11656,145.847632120796,38,11182,339.831872652477
16206,5,5001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,188,146476,128.348671454709,50,74886,66.7681542611436,138,71590,192.764352563207
16207,68,68001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,45,35849,125.526513989233,13,18321,70.9568255007915,32,17528,182.565038795071
16208,8,8001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,86,98524,87.2883764361983,14,50392,27.7821876488331,72,48132,149.588631264024
16209,8,8758,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,22,55984,39.2969419834238,9,28594,31.4751346436315,13,27390,47.4625775830595
16210,47,47001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,31,46886,66.1178176854498,12,23960,50.0834724540901,19,22926,82.875338044142
16211,76,76001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,193,176146,109.568199107558,48,90121,53.2617259018431,145,86025,168.55565242662
16212,11,11001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,683,599879,113.856294352694,179,307453,58.2202808234104,504,292426,172.35129571242
16213,76,76111,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,12,8026,149.514079242462,5,4125,121.212121212121,7,3901,179.441168931043
16214,13,13001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,70,83668,83.6640053544963,11,42686,25.7695731621609,59,40982,143.965643453223
16215,15,15001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,13,14729,88.261253309797,2,7541,26.5216814746055,11,7188,153.032832498609
16216,20,20001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,47,43963,106.908081796056,11,22378,49.155420502279,36,21585,166.782487838777
16217,27,27001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,18,15049,119.609276363878,2,7661,26.1062524474612,16,7388,216.567406605306
16218,50,50001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,108,42144,256.26423690205,29,21509,134.82728160305,79,20635,382.84468136661
16219,54,54810,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,2,4651,43.0015050526768,0,2388,0,2,2263,88.3782589482987
16220,54,54001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,31,55987,55.3699966063551,10,28543,35.034859685387,21,27444,76.5194578049847
16221,70,70001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,29,23742,122.14640721085,11,12139,90.6170195238487,18,11603,155.132293372404
16222,41,41001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,38,26624,142.728365384615,13,13542,95.9976369812435,25,13082,191.102277939153
16223,76,76497,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,1,1434,69.7350069735007,1,737,135.685210312076,0,697,0
16224,76,76892,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,14,9107,153.727901614143,5,4658,107.342206955775,9,4449,202.292650033715
16225,5,5631,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,6,2757,217.627856365615,2,1401,142.755174875089,4,1356,294.985250737463
16226,27,27361,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2014,2,4,3155,126.782884310618,0,1576,0,4,1579,253.324889170361
