id,cdep,cmun,cindica,nomind,periodo,edadR,casos,poblacion,tasa,casosh,poblacionh,tasah,casosm,poblacionm,tasam
10801,91,91263,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,0,684,0,-,331,0,-,353,0
10802,91,91405,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,0,557,0,-,280,0,-,277,0
10803,91,91407,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,0,770,0,-,385,0,-,385,0
10804,91,91001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,5,4814,103.86373078521,1,2474,"40,42",4,2340,"170,94"
10805,91,91540,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,0,1284,0,-,654,0,-,630,0
10806,91,91669,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,0,446,0,-,228,0,-,218,0
10807,91,91798,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,0,660,0,-,326,0,-,334,0
10808,5,5002,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,1,1723,58.0383052814858,-,886,0,1,837,"119,47"
10809,5,5021,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,0,239,0,-,122,0,-,117,0
10810,5,5030,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,2,2863,69.856793573175,1,1484,"67,39",1,1379,"72,52"
10811,5,5031,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,1,2370,42.1940928270042,-,1211,0,1,1159,"86,28"
10812,5,5034,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,3,4376,68.5557586837294,-,2241,0,3,2135,"140,52"
10813,5,5036,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,2,692,289.017341040462,1,357,"280,11",1,335,"298,51"
10814,5,5038,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,0,1236,0,-,639,0,-,597,0
10815,5,5040,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,0,1672,0,-,860,0,-,812,0
10816,5,5044,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,0,772,0,-,405,0,-,367,0
10817,5,5045,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,6,20260,29.6150049358342,2,10371,"19,28",4,9889,"40,45"
10818,5,5051,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,0,4637,0,-,2388,0,-,2249,0
10819,5,5055,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2013,2,0,1058,0,-,548,0,-,510,0
